user_id,attend,maybe,declined
918010298278203,,,1663023173954359
174865706198141,,,905008766246226
10153786186921667,,,1468796560095962
904949076286026,,,905008766246226
813461022097780,,,553707154776476
10156471044530112,,,942502089120677
906714402730645,,,441028849432114
419764914894570,,,1516028465387070
445715638949475,,,311755245655422
933423913412895,,,874334249323234
470835486455008,,,542668749205988
903669883020227,,,533717493449855
187048444973944,,,905008766246226
1657935927788053,905008766246226 587786681361995 906401222748379 136941413335064 117378128624899,,471379523018564
851045578347660,,,1560166957556972
966103216794751,,,542668749205988
1647739178835546,,,197038423962760
1711912842362166,,,795999260515174
1665674967037352,,,1514772282153569
10156778420745131,,,454615604712551
1724460394450837,,,942502089120677
560888630735023,,,1097659073578691
10208837011865607,,,311755245655422
1148060208556310,1635747950032736 934528249967335 406829072835666 1658552184361587 736854409753137 148966468795177,,1674987226048875
1661491220742288,,,499879156840400
10201085181129522,,,879336822135979
971307556244846,,,800361323357823
980748715318554,,,623228254478204
1516654908627610,,,905008766246226
140663546296300,,,905008766246226
10153392044362515,,,1537877016467620
1691701687717424,,,1405303876431734
458663074317861,,,587786681361995
10153382032073337,,,423717384415158
1072641606109739,,,372325806279445
10153443004319263,,,1632599073621622
906165942801382,,,874334249323234
925008104213900,197038423962760,,1733682646859766
10153794421580996,,,398686067005910
10207329773220485,,,423717384415158
1179885825359420,,,825881260800727
10153388436929296,,,545198285638570
1524268711229220,,,905008766246226
1217482248267228,,,431581403704434
1664290427142523,,,147933212231456
1648310925454533,,,905008766246226
1223623380997752,,,1164280260255705
807640309365355,,,1405303876431734
1670039133281178,1632599073621622 905008766246226 411662922360897,1035314519836199 482838738558603,311755245655422
427629670775701,,,587786681361995
897577413665378,,,1626927544222999
1032494770136238,,,923560931071519
1525592501092935,,,1621257701440717
146533462371952,,,905008766246226
524003227759215,,,1653481344921139
1073085026057785,,,1648052285418189
10201077072564469,,,1695189700704438
625926474217196,,,905008766246226
10156210318230332,,,1468796560095962
1522282038081925,,,569504093201752
960073357398772,,,1641671362774614
195598384107936,,,905008766246226
663326230474665,,,825881260800727
1021659777896512,,,311755245655422
1938641826361917,,,1097659073578691
1643750942574451,,,542668749205988
450420415142384,,,311755245655422
761370967339976,,,455637751283813
862031603909129,905008766246226,,910529609036509
968574556514355,,,361826890689198
10156340281450232,,,423717384415158
1651843505101731,1653481344921139,,406829072835666
859772574136758,,874334249323234 1656401337951247,471379523018564
1055864417791685,,,455637751283813
1028757250524626,,,892649937474491
1681868188693573,,,1483086508637055
963415067060172,,,311755245655422
544578749033859,587786681361995 157307111289538,,1647784098809527
1656095751335752,,,1648052285418189
1827740494125069,,,542668749205988
829376293828417,,,1648052285418189 455637751283813
151532811869321,,,905008766246226
1002091226513637,,,499879156840400
10153218458201074,,,1477651862560133
1499905096970993,,,905008766246226
523662974467159,,,1557137024539335
528527563995035,,,380347925486339
494306514076634,,,631265380347638
173892166297649,874835075904840 905008766246226 857622540975972 482838738558603,,406829072835666
554754528010516,906526716092147,,1517636418547610
1092555380757638,,,1631310107158147
