event_id,owner,start_time,place_id
367323636758059,282394601933590,2015-12-26T00:00:00+0700,108153009209321
394713817404679,500152980033341,2015-12-03T18:30:00+0700,
631160783635286,1457253097844155,2016-12-28T00:00:00-0800,1457253097844155
592124860905156,630256860383106,2016-12-28T00:00:00-0800,
866111476835677,800586393326786,2015-11-07T13:00:00+0700,
897885713633701,950219265048114,2015-12-12T09:00:00+0700,
535978726569411,127841374249281,2015-11-29T08:30:00+0700,
1728205167392156,345119005530894,2015-12-06T08:00:00+0700,
855071091220515,854628684579378,2016-12-29T00:00:00+0700,108153009209321
1036612783035948,1069844193034349,2015-11-07T00:00:00+0700,388026887917895
1813491758875082,734229800028524,2015-12-20T00:00:00-0800,734229800028524
407571132769856,418258305016522,2015-11-29T09:00:00+0700,211536622247965
427770110749644,172926962775927,2015-12-27T08:00:00+0700,172926962775927
742380505895733,226023577540223,2015-12-03T19:00:00+0700,
931978370186855,148316888708402,2015-12-11T14:00:00+0700,148316888708402
1643243845945814,148316888708402,2015-12-05T09:00:00+0700,
1520387614946767,146679858699194,2015-11-30T18:00:00+0700,146679858699194
822077791243799,323773504475440,2015-07-26T10:40:00+0700,331029323703377
1051599734892435,27789938713,2015-12-18T08:30:00+0700,
1595718864010301,605130106301620,2015-11-22T01:30:00+0700,178441095580232
483455978483118,452278964959235,2016-01-10T10:00:00+0700,108458769184495
917775454980540,123966167614127,2015-11-27T19:00:00+0700,108458769184495
426286864233621,10153385141498892,2015-12-06T20:00:00+0700,108458769184495
1207592255933943,1202163263130392,2015-11-23T14:30:00+0700,187275621329532
644598465643953,1021953147847029,2015-11-13T15:00:00+0700,104580643217496
1653917291543568,440705819455272,2015-11-21T08:00:00+0700,108458769184495
762028467236161,245796775505303,2015-11-21T08:00:00+0700,108458769184495
439107936255724,10206893366905483,2017-12-31T00:00:00+0700,108458769184495
165164663837984,1598573277066287,2015-11-22T07:30:00+0700,558648594148823
1717523641810371,467659113275223,2015-11-19T11:00:00+0700,
1653871418226721,123966167614127,2015-11-14T19:00:00+0700,108458769184495
1013876188632714,919440821468469,2015-12-01T13:00:00+0700,919440821468469
725340260922835,1522429674679692,2015-11-26T17:00:00+0700,261754867359796
1646169172322185,141006805941280,2015-11-18T09:00:00+0700,206342816141087
1929229167303058,536287646540565,2015-11-20T04:00:00+0700,1435393070014568
471379523018564,166136190070431,2015-12-03T18:00:00+0700,166136190070431
800361323357823,144845212220147,2017-07-14T09:30:00+0700,1456445677912747
425263714300648,1668256550087957,2016-01-31T00:00:00+0700,111403155545903
795615873894893,476299252497665,2015-12-22T16:00:00+0700,558101584272691
1656182334649628,345867728843659,2015-11-28T08:00:00+0700,1377240259158475
1053742441317347,728630700600799,2016-01-14T20:00:00+0700,199166866801468
1591204524467956,10153359084674538,2016-03-06T00:00:00+0700,318221091619666
204623723202537,928962953786555,2015-12-07T08:00:00+0800,
523608244484258,604300209623665,2015-11-17T13:00:00+0700,604300209623665
1663241800631364,400236943387516,2015-12-11T08:00:00+0700,106388046062960
583936238376872,740377155985468,2015-12-12T00:00:00-0800,740377155985468
1635825589968063,1047680721932483,2018-01-02T09:09:00+0700,1047680721932483
564979970316422,533281520169966,2015-11-21T09:00:00+0700,533281520169966
311946042319623,1651228821761305,2016-01-29T18:00:00+0700,1510279002521321
289702337887148,511887355641421,2030-10-03T00:00:00+0700,109740452377835
322719451185700,173694176159689,2015-12-19T09:30:00+0700,173694176159689
1735264416705550,149469482076141,2015-11-23T18:00:00+0700,722213971152713
126357494383048,879281035491276,2016-03-01T10:00:00+0700,290465327646803
896603930394641,810313495748229,2015-11-20T08:00:00+0700,1645818968999973
187063218296622,915397661819150,2015-12-15T18:00:00+0700,123529854410085
555949701234891,410181972473704,2015-11-29T08:30:00+0700,722213971152713
1087612831273155,253601568159832,2015-12-02T18:30:00+0700,253601568159832
820001494809516,456828111055935,2015-12-31T15:00:00+0700,456828111055935
1637400096532178,479000735570737,2015-11-19T09:00:00+0700,139069359454848
1495218810806969,427720474090163,2015-11-29T07:00:00+0700,297115090491673
549806141786714,740377155985468,2015-12-29T00:00:00-0800,740377155985468
500423840117190,123966167614127,2015-12-25T21:00:00+0700,108458769184495
1653260184922609,339679246202032,2015-12-02T21:00:00+0700,339679246202032
496623987186051,887678567995620,2015-12-01T01:00:00+0700,143509855729860
1621475224798262,740377155985468,2015-12-31T00:00:00+0700,108458769184495
1027014540663777,154361177924500,2015-11-29T21:00:00+0700,108458769184495
1502326910082235,914127498654137,2016-01-10T10:00:00+0700,914127498654137
1549983025247178,820627454699814,2015-11-28T08:00:00+0700,217249298390444
407782336098134,732960680144478,2015-12-16T11:00:00+0700,398851480147675
714237438711761,155988581133002,2015-11-26T17:30:00+0700,155988581133002
1683213978558267,1504006339899953,2016-10-09T00:00:00+0700,
1021954607820116,1523720367944227,2015-12-11T00:00:00+0700,667567939978765
